a,b
0,0.375
0,0.133333333
0.93,0.166666667
0.93,0.3125
0.57,0.166666667
0.74,0.5
1,0.083333333
0.64,0.266666667
0,0.625
0,0.388888889
0,0.25
0,0.285714286
0.97,0.083333333
0.79,0.384615385
0.68,0.272727273
0.71,0.571428571
0.67,0.181818182
0,0.133333333
0.86,0.266666667
0,0.272727273
0.89,0.181818182
0.85,0.3125
0,0.416666667
0,0.333333333
0.84,0.285714286
0.61,0.230769231
0.75,0.090909091
0.65,0.076923077
0.86,0.272727273
0.94,0.466666667
0,0.133333333
0.8,0.166666667
0,0.375
0.67,0.181818182
0,0.133333333
0,0.181818182
0.76,0.6
0.77,0.285714286
0,0.1
0.77,0.333333333
0,0.708333333
0,0.214285714
0,0.142857143
0,0.545454545
0.76,0.166666667
0.54,0.5
0,0.142857143
0,0.307692308
0,0.272727273
0.97,0.571428571
0,0.571428571
0.91,0.125
0.76,0.363636364
0.78,0.25
0.89,0.533333333
0.57,0.266666667
0,0.090909091
0.95,0.285714286
0,0.125
0.92,0.090909091
0,0.5
0.68,0.363636364
0.81,0.19047619
0.88,0.25
0.63,0.333333333
0.74,0.272727273
0,0.476190476
0,0.133333333
0.45,0.307692308
0,0.571428571
0,0.2
0,0.583333333
0.5,0.363636364
0,0.1875
0.95,0.230769231
0.5,0.285714286
0.93,0.4375
0,0.625
0,0.363636364
0,0
0.96,0.2
0,0.6
0,0.1
0,0.3125
0,0.214285714
0,0.285714286
0.82,0.4375
0.63,0.176470588
0.86,0.333333333
0.61,0.230769231
0.57,0
0,0.3
0,0.133333333
0,0.714285714
0,0.125
0.71,0.363636364
0.81,0.125
0.95,0
0.82,0.411764706
0.73,0.230769231
0.82,0.375
0,0.125
0,0.375
0.81,0.6
0.77,0.3125
0,0.25
0,0.181818182
0,0.125
0.87,0.1
0,0.090909091
0.87,0.571428571
0.8,0.375
0,0.5
0.92,0.2
0.69,0
0,0.3
0,0.222222222
0.92,0
0.86,0.714285714
0.62,0.181818182
1,0.636363636
0,0.1875
0,0.2
0.87,0.3125
0,0.2
0,0.333333333
0,0.230769231
0.93,0.545454545
0.88,0
0.9,0.9
0.57,0.090909091
0.76,0.1
0.31,0.444444444
0.89,0.666666667
0.8,0.818181818
0,0.466666667
0,0.416666667
0,0.090909091
0,0.181818182
0.67,0.083333333
0,0.294117647
0,0.2
0.63,0.5625
0.72,0.166666667
0,0.454545455
0,0.533333333
0,0.166666667
0.63,0.1
0.78,0.166666667
1,0.166666667
0.71,0.181818182
0,0.285714286
0.96,0.272727273
0,0.411764706
0,0.461538462
0.69,0.384615385
0.72,0.375
0,0.142857143
0.9,0.454545455
0.77,0.3125
0,0.222222222
0.71,0.2
0,0.363636364
0.89,0.333333333
0.79,0.285714286
0.76,0.1
0.88,0.153846154
0,0.111111111
0.95,0.428571429
0.58,0
0.67,0.090909091
0.89,0.1
0.97,0.5
0.86,0.461538462
0,0.384615385
0.79,0.2
0,0.363636364
0,0.25
0,0.333333333
0,0.181818182
0,0.4
0,0.235294118
0.81,0.111111111
0,0.2
0,0.166666667
0.41,0.833333333
0,0.5
1,0.307692308
0.95,0.363636364
0,0.461538462
1,0.272727273
0.8,0.2
0.84,0.6
0,0.454545455
0.88,0.375
0.78,0.375
0.77,0.363636364
0.68,0.482758621
0,0.636363636
0.42,0.25
0.93,0.333333333
0,0.545454545
0.88,0.272727273
0.68,0.461538462
1,0.4
0,0
1,0.5
0,0.3125
0,0.55
0,0.454545455
0,0.545454545
0.94,0.666666667
0.94,0.181818182
0,0.545454545
0.81,0.25
0.8,0.333333333
0,0.444444444
0,0.083333333
0,0.222222222
0.7,0.625
0,0.15
0.55,0.476190476
0,0.272727273
0.83,0.363636364
0.84,0.5
0.95,0.636363636
0.8,0.416666667
0.73,0.545454545
0,0.266666667
0.82,0.333333333
0.87,0.375
0,0.666666667
0.45,0.363636364
0.86,0.805555556
0.95,0.5
0.89,0.428571429
0.81,0.166666667
0,0.545454545
0.65,0.166666667
0.79,0.363636364
1,0.333333333
0.91,0.083333333
0,0.5
0.86,0.260869565
0.96,0.071428571
0.84,0.142857143
0.79,0.142857143
1,0.272727273
0.96,0.363636364
1,0.363636364
0.92,0.545454545
0.84,0.285714286
0.99,0.583333333
0.9,0.526315789
0.77,0.25
0.89,0.421052632
0.83,0.25
0.81,0.238095238
0,0
1,0.5
0.63,0.333333333
0,0.64
0,0.272727273
0.79,0.583333333
0,0.142857143
0,0.545454545
0,0.421052632
0,0.333333333
0,0.571428571
1,0.75
0.84,0.181818182
0.94,0.375
1,0.166666667
0.72,0.363636364
1,0.4
0,0.181818182
0.89,0.1875
0.75,0.222222222
0.64,0
0.75,0.095238095
0,0.263157895
0,0.2
0,0.4
0,0.454545455
0.86,0.5
0.86,0.5625
0.82,0.25
1,0.545454545
0,0.333333333
0,0.15
0,0.210526316
0.76,0.5
0.68,0.1
0,0.368421053
0,0.2
0.84,0.166666667
1,0.409090909
0.86,0
0.63,0.19047619
0,0.555555556
0.93,0
0,0.833333333
1,0
0,0.263157895
0.92,0.263157895
0,0.6
0,0.285714286
0,0.083333333
0,0.235294118
0.88,0.238095238
0,0.166666667
0.89,0.05
0,0.105263158
0,0.263157895
0.9,0.6
0.77,0.357142857
0.98,0.3125
0,0
1,0.7
0.78,0.083333333
0.95,0.380952381
0.77,0.15
0.83,0
0,0.263157895
0.74,0.307692308
0,0.541666667
0,0.157894737
0,0.5
0.68,0.545454545
0.85,0.166666667
0,0.25
0.73,0.272727273
0,0.210526316
0.63,0.142857143
0.56,0.5625
0.82,0.263157895
0,0.105263158
0.62,0.2
0.78,0.090909091
0,0.473684211
0,0.666666667
0.88,0.25
0.57,0.35
0.9,0.157894737
0.49,0.210526316
0.86,0.263157895
0.83,0.095238095
0,0.2
0.66,0.277777778
0,0.333333333
0,0.166666667
0,0.230769231
0,0.105263158
0.9,0.157894737
0,0.55
0.67,0.157894737
0,0.263157895
0.71,0.142857143
0.9,0.285714286
0.56,0.25
0.85,0.222222222
0.85,0.083333333
0,0.166666667
0,0.631578947
0.56,0.222222222
0,0.333333333
0,0.052631579
0,0.333333333
0.8,0.142857143
0,0.222222222
0.71,0.454545455
0,0.333333333
0.67,0.421052632
0,0.083333333
1,0.076923077
0.94,0.304347826
0,0.272727273
0,0
1,0.263157895
0,0.333333333
0.85,0.555555556
0.5,0.3
0,0.333333333
0,0.666666667
0,0
0,0.157894737
0.9,0.5
0,0.210526316
0,0.105263158
0,0.285714286
0,0
0,0.083333333
0.83,0.5
0,0
0.89,0.346153846
0.97,0.846153846
0.76,0.526315789
0.74,0.166666667
0.82,0.368421053
0.5,0.4
0.66,0.052631579
0,0.142857143
0.96,0.2
0.89,0
0,0.111111111
0.64,0.5
0,0.083333333
0.96,0.8
0,0.421052632
1,0.3
0,0.263157895
0,0.105263158
0,0.19047619
0.92,0.111111111
0,0.111111111
0,0.388888889
0,0.272727273
0,0.8
0.92,0.466666667
0.7,0.368421053
0,0.052631579
0,0.428571429
0,0.375
0,0
0,0.454545455
0,0.421052632
0.89,0.75
0.83,0.473684211
0,0.35
0.9,0.052631579
0,0.266666667
0,0.5
0,0.4
1,0.176470588
0,0
0,0.416666667
0,0.684210526
0,0.5
0.89,0.166666667
0,0.173913043
1,0.842105263
0,0.052631579
0,0.133333333
0,0.4
0,0.1875
0,0.305555556
0,0.5
0,0.388888889
0.88,0.666666667
0.48,0.111111111
0.87,0.263157895
0.79,0.384615385
0.88,0.333333333
0.93,0.090909091
0.75,0.4
0.9,0.133333333
0.95,0.166666667
0.77,0.055555556
0.92,0.666666667
0.91,0.578947368
0.95,0.235294118
0,0.52173913
0,0.583333333
0,0
0.84,0.416666667
0,0.071428571
0,0.214285714
0,0.090909091
0.75,0.272727273
0,0.304347826
0,0.866666667
0.89,0.631578947
0,0.5
0.87,0.083333333
0,0.05
0,0.333333333
0.88,0.181818182
0,0.133333333
0.5,0.272727273
0.77,0.782608696
0.76,0.263157895
0.86,0.684210526
0.93,0.25
0,0
0.75,0.285714286
0,0.095238095
0.69,0.181818182
0.7,0.333333333
0.77,0.263157895
0.73,0
0,0.083333333
0.73,0.2
0.93,0.333333333
0.89,0.210526316
0,0.047619048
0.65,0.1
0.93,0.166666667
0.72,0.071428571
0,0.3
0.73,0.130434783
0.69,0.333333333
0.9,0.111111111
0.84,0
0.89,0.333333333
0.77,0.066666667
0.85,0.047619048
0.88,0.125
0.75,0.076923077
0.78,0.2
0.73,0.375
0,0.166666667
0,0.222222222
0.61,0.272727273
0,0
0.83,0.047619048
0,0.4375
0.67,0.529411765
0,0.153846154
0.83,0.272727273
0,0.6
0.37,0.166666667
0,0.052631579
0.25,0
0.82,0.625
0.96,0.238095238
0.95,0.4
0,0.5
0.59,0.295454545
0,0
0.88,0.083333333
0,0.105263158
0.57,0.3125
0.91,0.3
0,0.1875
1,0.454545455
1,0.4
0.76,0.181818182
0,0
0.95,0.84
0,0.210526316
0.76,0.166666667
0,0.5625
0.9,0.071428571
0,0.307692308
0,0.333333333
0.78,0.083333333
0,0.777777778
0.88,0.055555556
0.73,0.052631579
0.77,0
0,0
0,0.35
0,0.5
0.83,0.133333333
0.76,0.461538462
1,0.083333333
1,0.195652174
0.9,0.277777778
0.88,0.25
0.65,0.052631579
0,0.076923077
0,0.4375
0.75,0.19047619
0.91,0.357142857
0.69,0.454545455
0.38,0.416666667
0.63,0.111111111
0,0.25
0,0.555555556
0.61,0
0.82,0.2
0,0.47826087
0.78,0.166666667
0,0.047619048
0.45,0.428571429
0.73,0.363636364
0.78,0
0.83,0.466666667
0,0.166666667
0.59,0.136363636
0.9,0.083333333
0.57,0.133333333
0,0.315789474
0.94,0.095238095
0,0.333333333
0,0.733333333
0,0.769230769
0,0.071428571
0,0.083333333
0,0.25
0,0.111111111
0,0.333333333
0.93,0.466666667
0.89,0.157894737
0,0.333333333
0.59,0.545454545
0.93,0.133333333
0,0.333333333
1,0.083333333
0.83,0.4
0.87,0.272727273
0,0.105263158
0.9,0.333333333
0.78,0.266666667
0.81,0.315789474
0.76,0.19047619
0,0.454545455
0,0.214285714
1,0
0.96,0.25
0.86,0.4
0.5,0.3125
0.88,0.105263158
0,0.75
0,0.157894737
0,0.133333333
0.67,0.285714286
0,0.538461538
0.71,0.310344828
0,0
0.76,0.357142857
0,0
0.83,0.8
0.79,0.25
0,0.272727273
0.96,0.315789474
0,0.083333333
0.9,0.210526316
0,0
0.57,0.238095238
0,0
0.79,0.214285714
0.79,0.333333333
0,0.25
0,0.157894737
0.87,0.157894737
0.89,0.25
0.81,0.625
0.67,0.315789474
0,0.142857143
0,0.466666667
0.95,0
0,0.181818182
0.65,0.533333333
0,0.285714286
0.9,0.444444444
0,0.315789474
0.84,0.210526316
0.63,0.083333333
0.94,0.315789474
0.85,0.047619048
0,0.181818182
0.88,0.642857143
0,0
0.7,0.222222222
0.95,0.181818182
0.9,0.277777778
0,0.071428571
0.78,0.388888889
0.96,0.166666667
0.86,0.333333333
0,0.315789474
0.75,0.421052632
0.92,0.238095238
0,0.5
0,0.5
0.78,0.142857143
0.98,0.2
0.88,0.1
0.87,0.266666667
0.97,0.222222222
0,0.333333333
0,0.166666667
0,0.133333333
0.89,0.0625
0.9,0.368421053
0.8,0.25
0,0.095238095
0.47,0.25
0.81,0.333333333
0.95,0.357142857
1,0.411764706
0,0
0,0
1,0.166666667
0.67,0.333333333
0,0.214285714
0,0.473684211
0.61,0.095238095
0,0.272727273
0,0.384615385
0.72,0.285714286
0.54,0.352941176
1,0.222222222
0.55,0.277777778
0,0
0,0.166666667
0.75,0.105263158
0.86,0.333333333
0.92,0.19047619
0.84,0
0,0.181818182
0,0.2
0.67,0.411764706
1,0.3
0.91,0.8
0.89,0.222222222
0.88,0
0.76,0.571428571
0,0.421052632
0,0.214285714
0,0.416666667
0,0.047619048
0.91,0.181818182
0.79,0.357142857
0.81,0.222222222
0.68,0.615384615
0.96,0.090909091
0.92,0.111111111
0.88,0.272727273
0.71,0.214285714
0.88,0.071428571
0.64,0.157894737
0,0.333333333
0.69,0.166666667
0.91,0.142857143
0,0.181818182
0,0.857142857
0.78,0.176470588
0.91,0.133333333
0.92,0.357142857
0.86,0.363636364
0.65,0.368421053
0.67,0.076923077
0.8,0.181818182
0.88,0.357142857
0.83,0.315789474
0.71,0.083333333
0.57,0.375
0,0.285714286
0.65,0.166666667
0.84,0.4
0.85,0.5
0,0.470588235
0.78,0.454545455
0.84,0.368421053
0,0
0,0
0.89,0.25
0,0.25
0.81,0.390243902
0,0.375
0.87,0.210526316
0.78,0
0,0.2
0.79,0.333333333
0.92,0.454545455
0.76,0.375
0.81,0.263157895
0,0.3
0.79,0
0.78,0.583333333
0.86,0.4
0.78,0.25
0,0.315789474
0.85,0.181818182
0,0.277777778
1,0.142857143
1,0.466666667
0.91,0.266666667
0,0.25
0.78,0.263157895
0.96,0
0.86,0.071428571
0.79,0.416666667
0.73,0.6
0.74,0.117647059
0,0.571428571
0,0.333333333
1,0.5625
0,0.375
0.65,0.555555556
0.98,0.285714286
0,0.25
0,0.466666667
0,0.235294118
0,0.214285714
0.69,0.545454545
0,0.375
0,0.111111111
0,0.25
0.97,0.3125
0,0.636363636
0,0.058823529
0,0.642857143
0.81,0.266666667
0,0.526315789
0.58,0.5
0,0.375
0,0.272727273
0.79,0.176470588
0.89,0.428571429
0,0.666666667
0.86,0.272727273
0,0.4
0.86,0.45
0,0.583333333
0,0.266666667
0,0.117647059
0.89,0.545454545
0,0.285714286
0,0.066666667
0,0.153846154
0.73,0.363636364
0.75,0.230769231
0.9,0.416666667
0,0.266666667
0,0.416666667
0.62,0.222222222
0,0.181818182
0,0.285714286
0.91,0.333333333
0,0.363636364
0.75,0.333333333
0,0.083333333
0,0.166666667
0,0.571428571
0,0.4
0,0.08
0.74,0.555555556
0.71,0.111111111
0,0
0,0.111111111
0.68,0.357142857
0.83,0.466666667
0.85,0.583333333
0.91,0.066666667
0.83,0.428571429
0,0.235294118
0.75,0.470588235
0.94,0.454545455
0.75,0.454545455
0.91,0.181818182
1,0.285714286
0.67,0
0,0.4375
0,0.5
0.58,0.4
0,0.25
0.86,0.666666667
0,0.545454545
0,0.285714286
0.74,0.352941176
0.96,0.4375
0.86,0.5
0,0.375
0,0.4375
0.89,0.428571429
0.95,0.272727273
0.97,0.105263158
0.59,0.466666667
0.84,0.666666667
0,0.5625
0.68,0.375
0.93,0.090909091
0,0.384615385
0,0.333333333
0,0.6
0,0.166666667
0,0.272727273
0,0.272727273
0,0.533333333
0,0.0625
0,0.272727273
0,0.25
0,0.272727273
0,0.333333333
0,0.25
0,0.466666667
0.42,0.416666667
0,1
0,0.333333333
0,0.3125
0.81,0.230769231
0,0.516129032
0,0.111111111
0.78,0.5
0.83,0.428571429
0.77,0.375
0.78,0.25
0.93,0.5
0,0.2
0,0.294117647
0,0.352941176
0.8,0.315789474
0,0.555555556
0.73,0.388888889
0,0.214285714
1,0.111111111
0,0.363636364
0.87,0.375
0,0.5
0.79,0.083333333
0,0
0,0.666666667
0,0.428571429
0.94,0
0.57,0.388888889
0,0.285714286
0,0.166666667
0,0.444444444
0.86,0.4375
0.76,0.571428571
0,0.666666667
0,0.533333333
0.62,0.3125
0,0.473684211
0,0.214285714
0.74,0.5
0.86,0.3125
0.37,0.416666667
0,0.3125
0.75,0.3125
0,0.375
0,0.142857143
0,0.526315789
0,0.333333333
0,0.266666667
0.97,0.416666667
0.83,0.483870968
0.87,0.25
0.5,0.5625
1,0.055555556
0,0.083333333
0,0.133333333
0.78,0.315789474
0,0.25
0,0.583333333
0.54,0.5
0.92,0.6
0.92,0.791666667
0,0.055555556
0.82,0.368421053
0,0
0,0.142857143
0.83,0.375
0.93,0.416666667
0,0.666666667
0.37,0.266666667
0.73,0.176470588
0.67,0.777777778
0,0.333333333
0,0.111111111
0.78,0.421052632
0.74,0
0,0.5
0.69,0.0625
0.78,0.166666667
0.92,0.636363636
0.74,0.2
0.67,0.615384615
0.87,0.066666667
0,0.555555556
0.78,0.111111111
0.55,0.368421053
0.75,0.357142857
0,0.2
0.83,0.272727273
0.58,0.222222222
0,0.166666667
0.84,0.125
0,0.2
0,0.357142857
0,0.727272727
0.93,0.277777778
0,0.714285714
0,0.181818182
0,0.8
0,0.333333333
0,0.25
0.59,0.266666667
0,0.111111111
0,0.25
0.95,0.5
0,0.666666667
0.86,0.363636364
0.75,0.25
0.92,0.375
0.83,0
0.76,0.470588235
0.79,0.4
0,0.384615385
0,0.5
0,0.181818182
0.64,0.25
0.8,0.3125
0.76,0.5
0,0
0,0.166666667
0.77,0.272727273
0,0.6
0,0.538461538
0.76,0.75
0.47,0.416666667
0,0.25
0.93,0
0.87,0.272727273
0,0.277777778
0,0.181818182
0.84,0.714285714
0.78,0.333333333
0.89,0.875
0,0.210526316
0.95,0.25
0.73,0.4375
0.78,0.2
0,0.230769231
0.8,0.470588235
0,0.363636364
0.67,0.272727273
0,0.357142857
0.81,0.526315789
0,0.666666667
0,0.483870968
0,0.4375
0,0.230769231
0,0.363636364
0,0.4
0,0.727272727
0,0.444444444
0.85,0.615384615
0.78,0.4
0.4,0.157894737
0.09,0.5
0,0.666666667
0.77,0.333333333
0.86,0.181818182
0.92,0.1
0.86,0.583333333
0.68,0.75
0,0.421052632
0,0.533333333
0.73,0.5
0.73,0.75
0.79,0.727272727
0.86,0.277777778
0,0.222222222
0.81,0.272727273
0.73,0.2
1,0.166666667
0.9,0.473684211
0.64,0.333333333
0.79,0.6
0,0.090909091
0,0.5
0,0.090909091
0.7,0.4
0.58,0.555555556
0.77,0.631578947
0.4,0.333333333
0.46,0.5
0,0.789473684
0,0.263157895
0,0.5
0,0.533333333
0,0.363636364
0.88,0.1
0.54,0.5
0,0.384615385
0,0.75
0.85,0.222222222
0.98,0.166666667
0.5,0.333333333
0,0.25
0.92,0.181818182
0.82,0.1
0,0.222222222
0.79,0.583333333
0.67,0.444444444
0.8,0.4
0.74,0.333333333
0,0.5625
0.78,0.2
0,0.363636364
0.63,0.647058824
0,0.6
0.84,0.625
0,0.583333333
0,0.5
0,0.416666667
0.57,0.058823529
0,0.25
0,0.3
0.72,0.529411765
0,0.454545455
0.76,0.6875
0,0.416666667
0,0.444444444
0,0.552631579
0,0.5
0,0.388888889
0,0.611111111
0.74,0.4
0.84,0.363636364
0,0.166666667
0,0.722222222
0.69,0.8
0,0.555555556
0.59,0.375
0.8,0.352941176
0.76,0.181818182
0.9,0.363636364
0.85,0.466666667
0,0.083333333
0.94,0.764705882
0.86,0.722222222
0,0.555555556
0,0.285714286
0,0.294117647
0.8,0.545454545
0.91,0.388888889
0.82,0.363636364
0,0.25
0.79,0.266666667
0,0.526315789
0,0.333333333
0,0.411764706
0.66,0.65
1,0.272727273
0.92,0.529411765
0,0.454545455
0.82,0.461538462
0.83,0.416666667
0,0.578947368
0.88,0.2
0,0.709677419
0,0.25
0,0.333333333
0.84,0.1
0.87,0.666666667
0,0.363636364
0.75,0.611111111
0,0.615384615
0,0.625
0,0.166666667
0.72,0.217391304
0,0.368421053
0,0.666666667
0,0.266666667
0,0.222222222
0,0.777777778
0.63,0.444444444
0.96,0.333333333
0,0.181818182
0.59,0.47826087
0,0.363636364
0.8,0.714285714
0.69,0.708333333
0,0.263157895
0.75,0.25
0,0.3125
0,0.5
0,0.181818182
0.93,0.529411765
0.89,0.333333333
0,0.363636364
1,0.6
0,0.261904762
0,0.307692308
0,0.375
0,0.3
0,0.181818182
1,0.388888889
0,0.333333333
0,0.5
0,1
0,0.357142857
0,0.461538462
0,0.675675676
0,0.7
0,0.363636364
0,0.2
0,0.733333333
0.54,0.533333333
0.82,0.166666667
0,0.4
0.65,0.5
0.73,0.571428571
0.9,0.592592593
0.8,0.333333333
0,0.619047619
0,0.4
0.63,0.4
0,0.454545455
0,0.272727273
0.9,0.8
0.65,0.5
0,0.5
0,0.695652174
0,0.5
1,0.384615385
0,0
0.86,0.444444444
0,0.375
0,0.416666667
0,0.25
0.78,0.217391304
0,0.0625
0,0.6
0,0.181818182
0,0.681818182
0,0.181818182
0.85,0.5625
0,0.5
0,0.75
0.86,0.1875
0,0.470588235
0.77,0.454545455
0,0.4
0.57,0.736842105
0,0.181818182
1,0.2
0.8,0.791666667
0.93,0.166666667
0,0.5625
0.87,0.666666667
0,0.166666667
0.91,0.466666667
0.97,0.4
0.83,0.705882353
0,0.181818182
0.51,0.8
0.97,0.466666667
0,0.2
0,0.166666667
0.64,0.538461538
0,0.916666667
0.85,0.55
0,0.5
0,0.4375
0.59,0.333333333
0.59,0.363636364
0,0.8
0.96,0.818181818
0.93,0.470588235
0,0.076923077
0,0.285714286
0.96,0.166666667
0,0.181818182
0,0.583333333
0,0.380952381
0,0.55
0,0.5625
0,0.272727273
0,0.647058824
0.71,0.545454545
0.92,0.333333333
1,0.333333333
0,0.111111111
0,0.272727273
0,0
0,0.25
0,0.466666667
0,0.666666667
0,0.583333333
0,0.55
0,0.166666667
0,0.181818182
0.81,0.444444444
0,0.181818182
0.77,0.619771863
0.5,0.166666667
0,0.5
0,0.222222222
0.85,0.827586207
0.45,0.636363636
1,0.714285714
0,0.833333333
1,0.4
0.89,0.083333333
0,0.2
0,0.416666667
0,0.529411765
0.96,0.4
0.71,0.65625
0,0.333333333
0.81,0.636363636
0,0.545454545
0.95,0.647058824
0.64,0.545454545
1,0.384615385
0.47,0.5
0.93,0.25
0.91,0.689655172
0,0.461538462
0,0.583333333
0.87,0.647058824
0,0.375
0,0.285714286
0.97,0.5
